Name,Born,Died,Nationality,Institutions,Alma mater,Notable awards,Fields,Total Count,Recursion,Score,Nobel Laureate
Rudolph A. Marcus,1923,NA,United States_Canada,New York University_University of Illinois at Urbana-Champaigne_California Institute of Technology,McGill University,Irving Langmuir Award_Peter Debye Award_National Medal of Science,Chemistry,8745,101657,73783.4,Yes
Eva Philbin,1914,2005,Ireland,University College Dublin_Hygeia Limited,University College Galway,NONE,Chemistry,225,3095,2234,No
Victor Grignard,1871,1935,France,University of Nancy,University of Lyon,NONE,Organic chemistry,1227,6082,4625.5,Yes
Humphry Bowen,1929,2001,United Kingdom,Atomic Energy Research Establishment_University of Reading,University of Oxford,NONE,Analytical chemistry,3775,63256,45411.7,No
Ada Yonath,1939,NA,Israel,Weizmann Institute of Science,Hebrew University of Jerusalem_Weizmann Institute of Science,Harvey Prize_Wolf Prize in Chemistry_Albert Einstein World Award of Science,Crystallography,4065,41187,30050.4,Yes
Mario J. Molina,1943,NA,Mexico,University of California San Diego_University of California Irvine_Jet Propulsion Laboratory_MIT,National Autonomous University of Mexico_Albert-Ludwigs-Universitat Freiburg_University of California Berkeley,Tyler Prize for Environmental Achievement_Newcomb Cleveland Prize_NASA Exceptional Scientific Achievement Medal_,Chemistry,7222,60972,44847,Yes
Theodor Curtius,1857,1928,Germany,University of Heidelberg,Heidelberg University,NONE,NONE,311,9035,6417.8,No
Aaron Ciechanover,1947,NA,Israel,Whitehead Institute at MIT_Ruth and Bruce Rappaport Faculty of Medicine,Hadassah Medical School_Technion - Israel Institute of Technology_,NONE,Biology,11709,137393,99687.8,Yes
Percy Lavon Julian,1899,1975,United States,Fisk University_Howard University_Universoty of Vienna_DePauw University,DePauw University_Harvard University_University of Vienna,NONE,NONE,86,1401,1006.5,No
Robert Robinson,1866,1975,United Kingdom,University of Sydney_University of Liverpool_British Dyestuffs Corporation_University of Manchester_University of London_University of Oxford,University of Manchester,Davy Medal_Royal Medal_Copley Medal_Franklin Medal_Albert Medal,Organic chemistry,22336,122619,92534.1,Yes
Jacobus Henricus vant Hoff,1852,1911,Netherlands,Veterinary College in Utrecht_University of Amsterdam_University of Berlin,Delft University of Technology_University of Leiden_University of Bonn_University of Paris_University of Utrecht,Davy Medal,Physical chemistry_Organic chemistry,806,23529,16712.1,Yes
Georg Wittig,1897,1987,Germany,University of Marburg_TU Braunschweig_University of Freiburg_University of Tubingen_University of Heidelberg,University of Marburg,Otto Hahn Prize for Chemistry and Physics_Paul Karrer Gold Medal,Chemistry,2498,39654,28507.2,Yes
Archer John Porter Martin,1910,2002,United Kingdom,National Institue for Medical Research,University of Cambridge,NONE,NONE,1154,10263,7530.3,Yes
Martin Chalfie,1947,NA,United States,Columbia University,Harvard University,E. B. Wilson Medal,Neurobiology,10384,335678,238089.8,Yes
Peter Agre,1949,NA,United States,Johns Hopkins University,Augsburg College_Johns Hopkins University_Case Western Reserve University,NONE,Chemistry_Biochemistry,9074,68210,50469.2,Yes
Hans A. Krebs,1900,1981,Germany,Kaiser Wilhelm Institute for Biology_University of Hamburg_University of Cambridge_University of Sheffield_University of Oxford,University of Gottingen_University of Freiburg_University of Berlin_University of Hamburg,NONE,Biochemistry,6784,81996,59432.4,Yes
Yuan T. Lee,1936,NA,Japan,University of California Berkeley_University of Chicago_Lawrence Berkeley National Laboratory,National Taiwan University_Tsinghua University_University of California Berkeley,National Medal of Science_Peter Debye Award,Chemistry,4934,49243,35950.3,Yes
Leo Baekeland,1863,1944,Belgium,Columbia University,Ghent University,John Scott Medal_Willard Gibbs Award_Perkin Medal,Chemistry,209,3392,2437.1,No
George de Hevesy,1885,1966,Hungarian,Ghent University_University of Budapest_Niels Bohr Institute. ETH Zurich_University of Freiburg_University of Manchester_Stefan Meyer Institute for Subatomic Physics,University of Freiburg,NONE,Chemistry,83,687,505.8,Yes
Sidney Altman,1939,NA,Canada_United States,Yale University,MIT_Columbia University_University of Colorado at Boulder,NONE,Molecular biology,4615,72292,51988.9,Yes
Roderick MacKinnon,1956,NA,United States,Harvard University_Rockefeller University,Brandeis University,Newcomb Cleveland Prize. Albert Lasker Award for Basic Medical Research_Perl-UNC Prize,Chemistry,16844,110312,82271.6,Yes
Georges Urbain,1872,1938,France,Sorbonne,ESPCI Paris Tech,NONE,NONE,524,5506,4011.4,No
Ir??ne Joliot-Curie,1897,1956,France,Faculty of Science,Sorbonne,NONE,Chemistry,204,2105,1534.7,Yes
Rosalind Franklin,1920,1958,United Kingdom,British Coal Utilisation Research Association_Laboratoire Central des Services Chimiques de lEtat_Kings College,Newnham College,NONE,Chemistry,3544,77440,55271.2,No
Max Tishler,1906,1989,United States,Merck Sharp and Dohme Research Laboratories,Tufts College_Harvard University,IRI Medal_National Medal of Science,Chemistry,653,11951,8561.6,No
John Howard Northrop,1891,1987,United States,University of California Berkeley_Columbia University_Rockefeller University,Columbia University,Daniel Giraud Elliot Medal,Biochemistry,543,11898,8491.5,Yes
Irwin Rose,1926,2015,United States,Fox Chase Cancer Center_University of Pennsylvania_University of California Irvine_Yale University,University of Chicago,NONE,Biology,2700,60526,43178.2,Yes
William Ramsay,1852,1916,United Kingdom,University of Glasgow_University College Bristol_University College London,University of Glasgow_Andersons Institution,Leconte Prize_Barnard Medal for Meritorious Service to Science_Davy Medal,Chemistry,1898,108886,76789.6,Yes
Ronald Breslow,1931,NA,United States,Columbia University,Harvard University,ACS Award in Pure Chemistry_National Medal of Science_Priestley Medal_Othmer Gold Medal_Perkin Medal_AIC Gold Medal,Chemistry,10626,131966,95564,Yes
Emil Knoevenagel,1865,1921,Germany,NONE,NONE,NONE,NONE,154,4516,3207.4,No
Ronald George Wreyford Norrish,1897,1978,United Kingdom,University of Cambridge,University of Cambridge,Davy Medal,Chemistry,72,2425,1719.1,Yes
