Name, Year, WikiLink
Ir%C3%A8ne Joliot-Curie,1897, /wiki/Ir%C3%A8ne_Joliot-Curie
Brian David Josephson,1940, /wiki/Brian_David_Josephson
Menas Kafatos,1945, /wiki/Menas_Kafatos
Michio Kaku,1947, /wiki/Michio_Kaku
Charles K. Kao,1933, /wiki/Charles_K._Kao
Pyotr Kapitsa,1894, /wiki/Pyotr_Kapitsa
Predhiman Krishan Kaw,1948, /wiki/Predhiman_Krishan_Kaw
Wolfgang Ketterle,1957, /wiki/Wolfgang_Ketterle
Isaak Markovich Khalatnikov,1919, /wiki/Isaak_Markovich_Khalatnikov
Abdul Qadeer Khan,1936, /wiki/Abdul_Qadeer_Khan
Julii Khariton,1904, /wiki/Julii_Khariton
Toichiro Kinoshita,1925, /wiki/Toichiro_Kinoshita
Hagen Kleinert,1941, /wiki/Hagen_Kleinert
Klaus von Klitzing,1943, /wiki/Klaus_von_Klitzing
Makoto Kobayashi (physicist),1944, /wiki/Makoto_Kobayashi_(physicist)
Masatoshi Koshiba,1926, /wiki/Masatoshi_Koshiba
Matthew Koss,1961, /wiki/Matthew_Koss
Hendrik Kramers,1894, /wiki/Hendrik_Kramers
Lawrence Krauss,1954, /wiki/Lawrence_Krauss
Herbert Kroemer,1928, /wiki/Herbert_Kroemer
Nikolay Sergeevich Krylov,1917, /wiki/Nikolay_Sergeevich_Krylov
Igor Vasilyevich Kurchatov,1903, /wiki/Igor_Vasilyevich_Kurchatov
Behram Kursunoglu,1922, /wiki/Behram_Kursunoglu
Yulii Borisovich Khariton,1904, /wiki/Yulii_Borisovich_Khariton
Lev Davidovich Landau,1908, /wiki/Lev_Davidovich_Landau
Cesar Lattes,1924, /wiki/Cesar_Lattes
Robert B. Laughlin,1950, /wiki/Robert_B._Laughlin
Pyotr Nikolaevich Lebedev,1866, /wiki/Pyotr_Nikolaevich_Lebedev
Leon M. Lederman,1922, /wiki/Leon_M._Lederman
Benjamin Lee (physicist),1935, /wiki/Benjamin_Lee_(physicist)
David Lee (physicist),1931, /wiki/David_Lee_(physicist)
Tsung-Dao Lee,1926, /wiki/Tsung-Dao_Lee
Anthony James Leggett,1938, /wiki/Anthony_James_Leggett
