Name, Year, WikiLink
Oskar Heinroth, 1871, /wiki/Oskar_Heinroth
Willi Hennig, 1913, /wiki/Willi_Hennig
Albert William Herre, 1868, /wiki/Albert_William_Herre
Alfred Hershey, 1908, /wiki/Alfred_Hershey
Philip Hershkovitz, 1909, /wiki/Philip_Hershkovitz
Leo George Hertlein, 1898, /wiki/Leo_George_Hertlein
Archibald Vivian Hill, 1886, /wiki/Archibald_Vivian_Hill
Bruno Hofer, 1861, /wiki/Bruno_Hofer
Leroy Hood, 1939, /wiki/Leroy_Hood
John R. Horner, 1946, /wiki/John_R._Horner
Bernardo Houssay, 1887, /wiki/Bernardo_Houssay
Albert Howard, 1873, /wiki/Albert_Howard
Henry Eliot Howard, 1873, /wiki/Henry_Eliot_Howard
Sarah Blaffer Hrdy, 1946, /wiki/Sarah_Blaffer_Hrdy
David H. Hubel, 1926, /wiki/David_H._Hubel
Ambrosius Hubrecht, 1853, /wiki/Ambrosius_Hubrecht
G. Evelyn Hutchinson, 1903, /wiki/G._Evelyn_Hutchinson
Julian Sorell Huxley, 1887, /wiki/Julian_Sorell_Huxley
Libbie Hyman, 1888, /wiki/Libbie_Hyman
Tom Iredale, 1880, /wiki/Tom_Iredale
Fran%C3%A7ois Jacob, 1920, /wiki/Fran%C3%A7ois_Jacob
Daniel Janzen, 1939, /wiki/Daniel_Janzen
Wilhelm Johannsen, 1857, /wiki/Wilhelm_Johannsen
David Starr Jordan, 1851, /wiki/David_Starr_Jordan
Ernest Everett Just, 1883, /wiki/Ernest_Everett_Just
Zbigniew Kabata, 1924, /wiki/Zbigniew_Kabata
Eric R. Kandel, 1929, /wiki/Eric_R._Kandel
Rudolf Kaufmann, 1909, /wiki/Rudolf_Kaufmann
Stuart Kauffman, 1939, /wiki/Stuart_Kauffman
Janet Kear, 1933, /wiki/Janet_Kear
Gerald A. Kerkut, 1927, /wiki/Gerald_A._Kerkut
Warwick Estevam Kerr, 1922, /wiki/Warwick_Estevam_Kerr
Zofia Kielan-Jaworowska, 1925, /wiki/Zofia_Kielan-Jaworowska
Motoo Kimura, 1924, /wiki/Motoo_Kimura
Norman Boyd Kinnear, 1882, /wiki/Norman_Boyd_Kinnear
Fritz K%C3%B6berle, 1910, /wiki/Fritz_K%C3%B6berle
Alexander Koenig, 1858, /wiki/Alexander_Koenig
Arthur Kornberg, 1918, /wiki/Arthur_Kornberg
Adriaan Kortlandt, 1918, /wiki/Adriaan_Kortlandt
Albrecht Kossel, 1853, /wiki/Albrecht_Kossel
Hans Adolf Krebs, 1900, /wiki/Hans_Adolf_Krebs
Eduardo Krieger, 1930, /wiki/Eduardo_Krieger
Kewal Krishan, 1973, /wiki/Kewal_Krishan
August Krogh, 1874, /wiki/August_Krogh
Henri Laborit, 1914, /wiki/Henri_Laborit
David Lack, 1910, /wiki/David_Lack
Hugh Lamprey, 1928, /wiki/Hugh_Lamprey
Kai Larsen, 1926, /wiki/Kai_Larsen
Charles Francis Laseron, 1887, /wiki/Charles_Francis_Laseron
Colin Leakey, 1933, /wiki/Colin_Leakey
Tim Lee (comedian), 1977, /wiki/Tim_Lee_(comedian)
Edward B. Lewis, 1918, /wiki/Edward_B._Lewis
Richard Lewontin, 1929, /wiki/Richard_Lewontin
Aristid Lindenmayer, 1925, /wiki/Aristid_Lindenmayer
Jacques Loeb, 1859, /wiki/Jacques_Loeb
Friedrich Loeffler, 1852, /wiki/Friedrich_Loeffler
Konrad Zacharias Lorenz, 1903, /wiki/Konrad_Zacharias_Lorenz
Harri Lorenzi, 1949, /wiki/Harri_Lorenzi
James Lovelock, 1919, /wiki/James_Lovelock
Percy Lowe, 1870, /wiki/Percy_Lowe
Salvador Luria, 1912, /wiki/Salvador_Luria
Adolfo Lutz, 1855, /wiki/Adolfo_Lutz
Andr%C3%A9 Lwoff, 1902, /wiki/Andr%C3%A9_Lwoff
Trofim Lysenko, 1898, /wiki/Trofim_Lysenko
John M. MacDougal, 1954, /wiki/John_M._MacDougal
Ramon Margalef, 1919, /wiki/Ramon_Margalef
Leo Margolis, 1927, /wiki/Leo_Margolis
Lynn Margulis, 1938, /wiki/Lynn_Margulis
Barry Marshall, 1951, /wiki/Barry_Marshall
Ferm%C3%ADn Mart%C3%ADn Piera, 1954, /wiki/Ferm%C3%ADn_Mart%C3%ADn_Piera
John Marwick, 1891, /wiki/John_Marwick
Gregory Mathews, 1876, /wiki/Gregory_Mathews
Paul Matschie, 1861, /wiki/Paul_Matschie
William Diller Matthew, 1871, /wiki/William_Diller_Matthew
Harold Maxwell-Lefroy, 1877, /wiki/Harold_Maxwell-Lefroy
Robert May, Baron May of Oxford, 1936, /wiki/Robert_May,_Baron_May_of_Oxford
Ernst Mayr, 1904, /wiki/Ernst_Mayr
Barbara McClintock, 1902, /wiki/Barbara_McClintock
James V. McConnell, 1925, /wiki/James_V._McConnell
Mark McMenamin, 1958, /wiki/Mark_McMenamin
Edmund Meade-Waldo, 1855, /wiki/Edmund_Meade-Waldo
Clinton Hart Merriam, 1855, /wiki/Clinton_Hart_Merriam
John C. Merriam, 1869, /wiki/John_C._Merriam
Rodolphe Meyer de Schauensee, 1901, /wiki/Rodolphe_Meyer_de_Schauensee
Otto Fritz Meyerhof, 1884, /wiki/Otto_Fritz_Meyerhof
Leonor Michaelis, 1875, /wiki/Leonor_Michaelis
Gerrit Smith Miller, 1869, /wiki/Gerrit_Smith_Miller
Jacques Miller, 1931, /wiki/Jacques_Miller
Kenneth R. Miller, 1948, /wiki/Kenneth_R._Miller
Jacques Monod, 1910, /wiki/Jacques_Monod
Luc Montagnier, 1932, /wiki/Luc_Montagnier
Rita Levi-Montalcini, 1909, /wiki/Rita_Levi-Montalcini
George Thomas Moore, 1871, /wiki/George_Thomas_Moore
Thomas Hunt Morgan, 1868, /wiki/Thomas_Hunt_Morgan
Desmond Morris, 1928, /wiki/Desmond_Morris
Roger Morse, 1927, /wiki/Roger_Morse
Guy Mountfort, 1905, /wiki/Guy_Mountfort
Ladislav Mucina, 1956, /wiki/Ladislav_Mucina
Kary Mullis, 1944, /wiki/Kary_Mullis
Gary Paul Nabhan, 1952, /wiki/Gary_Paul_Nabhan
Randolph M. Nesse, 1945, /wiki/Randolph_M._Nesse
Charles F. Newcombe, 1851, /wiki/Charles_F._Newcombe
Margaret Morse Nice, 1883, /wiki/Margaret_Morse_Nice
Elmer Noble, 1909, /wiki/Elmer_Noble
Alfred John North, 1855, /wiki/Alfred_John_North
Christiane N%C3%BCsslein-Volhard, 1942, /wiki/Christiane_N%C3%BCsslein-Volhard
Nils Hjalmar Odhner, 1884, /wiki/Nils_Hjalmar_Odhner
Eugene Odum, 1913, /wiki/Eugene_Odum
Howard T. Odum, 1924, /wiki/Howard_T._Odum
William Robert Ogilvie-Grant, 1863, /wiki/William_Robert_Ogilvie-Grant
Aleksandr Oparin, 1894, /wiki/Aleksandr_Oparin
Henry Fairfield Osborn, 1857, /wiki/Henry_Fairfield_Osborn
William Charles Osman Hill, 1901, /wiki/William_Charles_Osman_Hill
Halszka Osm%C3%B3lska, 1930, /wiki/Halszka_Osm%C3%B3lska
