Name , Nationality , Institutions , Alma mater , Notable awards , Fields , Known for, Nobel Laureate,,,,,,,
Robert_H._Grubbs , United States , California Institute of Technology , University of Florida (B.S, 1963)[1]&University of Florida (M.S, 1965)[2]&Columbia University (Ph.D, 1968)[3] , Tolman Award (2002)&Linus Pauling Award (2003)&Nobel Prize in Chemistry (2005) , Organic chemistry ,  , , , No ,,
Hermann_Emil_Fischer , Germany , University of Munich (1875\xe2\x80\x9381)&University of Erlangen (1881\xe2\x80\x9388)&University of W\xc3\xbcrzburg (1888\xe2\x80\x9392)&University of Berlin (1892\xe2\x80\x931919) , University of Bonn&University of Strasbourg , Davy Medal (1890)&Nobel Prize in Chemistry (1902)&Elliott Cresson Medal (1913) , Chemistry ,  , , , Yes ,,,,,
Friedrich_Bergius , Germany , University of Hanover , University of Breslau,&University of Leipzig , Nobel Prize for Chemistry (1931) , Chemistry ,  , , , No ,,,,
Jean-Marie_Lehn , France ,  ,  , Nobel Prize in Chemistry (1987)&Davy Medal (1997) , Supramolecular chemistry ,  , , , Yes ,,,,,
Richard_Kuhn , Germany, Austria ,  ,  , &&&Nobel Prize in Chemistry (1938)&Goethe Prize (1942)&&& , Chemistry ,  , , , No ,,,,
Robert_Bruce_Merrifield ,  United States ,  , UCLA (Ph.D., 1949) , Gairdner Foundation International Award (1970)&Nobel Prize in Chemistry (1984)&Glenn T. Seaborg Medal (1993) , biochemistry ,  , , , No ,,,,
Richard_Willst%C3%A4tter , Germany , University of Munich&ETH Z\xc3\xbcrich&University of Berlin&Kaiser Wilhelm Institute , University of Munich , Nobel Prize for Chemistry (1915)&Davy Medal (1932)&Willard Gibbs Award (1933)&Fellow of the Royal Society[1] , Physical chemistry ,  , , , Yes ,,,,,
Rudolph_Pariser , United States , DuPont , University of California, Berkeley; University of Minnesota ,  , Physical Chemistry ,  , , , No ,,,,
Kary_Mullis ,  ,  , Georgia Institute of Technology (BSc, 1966)&University of California, Berkeley (PhD, 1972) , William Allan Award (1990)&Robert Koch Prize (1992)&Nobel Prize in Chemistry (1993)&Japan Prize (1993) , Molecular biology ,  , , , No ,,
Gerhard_Herzberg , Germany , Carleton University, University of Saskatchewan ,  , Henry Marshall Tory Medal (1953)&Nobel Prize for Chemistry (1971)&Royal Medal (1971) , physical chemist ,  , , , No ,,,,
George_Andrew_Olah ,  , Case Western Reserve University, University of Southern California , Budapest University of Technology and Economics , ACS Henry Morley Medal (1970)&California Scientist of the Year (1989)&Tolman Award (1991)&Nobel Prize in Chemistry (1994)&ACS F. A. Cotton Medal (1996)&ACS Arthur C. Cope Award (2001)&Order of the Rising Sun (2003)&Priestley Medal (2005)&Hungarian Order of Pro Merit (2006)[1] , Chemistry ,  , , , No ,,,,
George_M._Whitesides , American , Harvard University&Massachusetts Institute of Technology , Harvard University&California Institute of Technology , &ACS Award in Pure Chemistry (1975)&Arthur C. Cope Award (1995)&National Medal of Science (1998)&Kyoto Prize (2003)&Dan David Prize (2005)&Linus Pauling Award (2005)&Priestley Medal (2007)&R&D Magazine \xe2\x80\x93 Scientist of the Year (2007)&Othmer Gold Medal (2010)&King Faisal International Prize (2011)&IRI Medal (2013)& , chemistry, nanotechnology ,  , , , No ,,,,
Kurt_Alder , German , I G Farben Industrie,&University of Cologne , University of Berlin&University of Kiel , Nobel Prize for Chemistry (1950) , Organic chemistry ,  , , , No ,,,,
Tadeus_Reichstein , Polish ,  ,  , Marcel Benoist Prize (1947)&Nobel Prize in Physiology or Medicine (1950)&Copley Medal (1968) ,  ,  , , , Yes ,,,,,
Walter_Haworth , United Kingdom , University of St. Andrews&Durham University&University of Birmingham , University of Manchester&University of G\xc3\xb6ttingen , Davy Medal (1934)&Nobel Prize for Chemistry (1937)&Royal Medal (1942) , Organic chemistry ,  , , , Yes ,,,,,
Henry_Gwyn_Jeffreys_Moseley , British ,  , Trinity College, University of Oxford&University of Manchester , Matteucci Medal (1919) , Physics, chemistry ,  , , , No ,,,
Stanley_Miller , United States , University of Chicago&Columbia University&University of California, San Diego , University of California at Berkeley , Oparin Medal , Chemistry ,  , , , No ,,,,
Francis_William_Aston , United Kingdom , University of Cambridge , University of Birmingham&University of Cambridge , Nobel Prize for Chemistry (1922)&Hughes Medal (1922)&Royal Medal (1938)&Duddell Medal and Prize (1944) , Chemistry, physics ,  , , , Yes ,,,,
Alan_MacDiarmid , New Zealand, United States , University of Pennsylvania, University of St Andrews, University of Texas at Dallas , Victoria University of Wellington&University of Cambridge&University of Wisconsin\xe2\x80\x93Madison , The Francis J. Clamer Medal in 1993&Nobel Prize for Chemistry in 2000 ,  ,  , , , No ,,
Gilbert_Newton_Lewis , American ,  ,  , Fellow of the Royal Society[1]&Willard Gibbs Award (1924)&Davy Medal (1929) , Physical chemist ,  , , , No ,,,,,
Roald_Hoffmann , American , Cornell University , Stuyvesant High School&Columbia University&Harvard University , Nobel Prize in Chemistry (1981)&National Medal of Science (1983)&Priestley Medal (1990)&Lomonosov Gold Medal (2011) , Chemistry ,  , , , Yes ,,,,,
Adolf_Otto_Reinhold_Windaus , Germany ,  ,  , Nobel Prize for Chemistry (1928) , Organic chemistry&biochemistry ,  , , , Yes ,,,,,
Paul_Lauterbur ,  , State University of New York at Stony Brook&University of Illinois at Urbana-Champaign&Mellon Institute of Industrial Research (part of todays Carnegie Mellon University) , Case Western Reserve University (B.S.),&University of Pittsburgh (Ph.D.) , Nobel Prize in Physiology or Medicine (2003)&Kyoto Prize (1994)&Bower Award (1990)&IEEE Medal of Honor (1987)&National Medal of Science (1987)&Harvey Prize (1986)&Potts Medal (1983) ,  ,  , , , No ,,,,
Christopher_Kelk_Ingold , British , Imperial College London&University of Leeds&University College London , Imperial College London , &&&Davy Medal (1946)&Royal Medal (1952)&Fellow of the Royal Society[1]&&& , Chemistry ,  , , , No ,,,,,
Svante_Arrhenius , Swedish , Royal Institute of Technology , Uppsala University&Stockholm University , Davy Medal (1902)&Nobel Prize for Chemistry (1903)&Willard Gibbs Award (1911)&Franklin Medal (1920) , Physics, chemistry ,  , , , Yes ,,,,
Homer_Burton_Adkins , American ,  , Denison University ,  , Chemistry ,  , , , No ,,,,,
Henry_Taube , Canada, Naturalized Citizen of the United States , Cornell University, University of Chicago, Stanford University , University of Saskatchewan (B.Sc.) (1935)&University of Saskatchewan (M.Sc) (1937)&University of California, Berkeley (Ph.D) (1940) , National Medal of Science (1976)&Nobel Prize in Chemistry (1983)&Priestley Medal (1985) ,  ,  , , , No ,
Giulio_Natta , Italian , Pavia University&University of Rome La Sapienza&Politecnico di Torino , Politecnico di Milano , Nobel Prize in Chemistry (1963)&Lomonosov Gold Medal (1969) , Organic chemistry ,  , , , Yes ,,,,,
Fritz_Haber , German , Swiss Federal Institute of Technology&University of Karlsruhe , University of Heidelberg, Humboldt University of Berlin&Technical University of Berlin , Nobel Prize in Chemistry (1918)&Rumford Medal (1932) , Physical chemistry ,  , , , No ,,,,
Irina_Beletskaya ,  , Moscow State University , Moscow State University , Demidov Prize (2003) , Organometallic chemistry ,  , , , No ,,,,,
Dorothy_Hodgkin , British ,  , University of Oxford , &&&Royal Medal (1956)&Nobel Prize in Chemistry (1964)&Copley Medal (1976)&Lomonosov Gold Medal (1982)&&& , Biochemistry, X-ray crystallography ,  , , , Yes ,,,,
Paul_Josef_Crutzen ,  ,  ,  , Tyler Prize for Environmental Achievement (1989)&Volvo Environment Prize (1991)&Nobel Prize in Chemistry (1995) , Chemistry, Physics ,  , , , Yes ,,,,
Venkatraman_Ramakrishnan ,  , MRC Laboratory of Molecular Biology, Cambridge, England&Trinity College, Cambridge , Maharaja Sayajirao University of Baroda&Ohio University&University of California, San Diego , Louis-Jeantet Prize for Medicine (2007)&Nobel Prize in Chemistry (2009)&Padma Vibhushan (2010) , Biochemistry and Biophysics ,  , , , No ,
Alfred_Werner , Swiss , University of Zurich , University of Zurich&ETH Zurich , Nobel Prize for Chemistry (1913) , Inorganic chemistry ,  , , , Yes ,,,,,
Vladimir_Ipatieff , Russian&American , Northwestern University ,  , Willard Gibbs Award (1940) ,  ,  , , , No ,,,,,
Johannes_Nicolaus_Br%C3%B8nsted , Danish , University of Copenhagen , University of Copenhagen ,  , Physical chemistry ,  , , , No ,,,,,
Avram_Hershko , Israel ,  ,  , Nobel Prize in Chemistry (2004) , Chemistry ,  , , , Yes ,,,,,
Ry%C5%8Dji_Noyori , Japan , Harvard University, RIKEN, Nagoya University , Kyoto University , Asahi Prize (1992)&Tetrahedron Prize (1993)&Arthur C. Cope Award (1997)&Nobel Prize for Chemistry (2001)&Wolf Prize in Chemistry (2001)&Lomonosov Gold Medal (2009) , Chemistry, Asymmetric catalysis ,  , , , No ,,
Dudley_R._Herschbach , United States , University of California, Berkeley&Harvard University&Freiburg University&Texas A&M University , Harvard University&Stanford University , ACS Award in Pure Chemistry (1965)&Linus Pauling Medal (1978)&RSC Michael Polanyi Medal (1981)&Irving Langmuir Award (1983)&Nobel Prize in Chemistry (1986)&National Medal of Science (1991)&ASCR Jaroslav Heyrovsky Medal (1992)&Sierra Nevada Distinguished Chemist Award (1993)&ACS Gennady Michael Kosolapoff Award (1994)&AICE William H. Walker Award (1994)&Council of Scientific Society President\xe2\x80\x99s Award (1999)&American Institute of Chemists Gold Medal (2011) , Chemistry ,  , , , No ,,,,
Melvin_Calvin , United States , University of Manchester&University of California, Berkeley&Berkeley Radiation Laboratory&Science Advisory Committee , Michigan College of Mining and Technology&University of Minnesota , Nobel Prize for Chemistry (1961)&Davy Medal (1964)&Priestley Medal (1978)&AIC Gold Medal (1979)&National Medal of Science (1989)[1] , Chemistry\xc2\xa0\xc2\xb7 Biology ,  , , , No ,,,,
Hans_Fischer , Germany , University of Innsbruck,&University of Vienna,&Technical University of Munich , University of Lausanne,&University of Marburg , Nobel Prize for Chemistry (1930)&Davy Medal (1937) , Chemistry ,  , , , No ,,
